"filename", "language", "JavaScript", "comment", "blank", "total"
"e:\1DV610\L3A\src\app.js", "JavaScript", 27, 3, 8, 38
"e:\1DV610\L3A\src\routes\analyzer.js", "JavaScript", 39, 1, 12, 52
"e:\1DV610\L3A\src\routes\formatter.js", "JavaScript", 60, 1, 18, 79
"e:\1DV610\L3A\src\routes\searcher.js", "JavaScript", 58, 1, 14, 73
"e:\1DV610\L3A\src\routes\transformer.js", "JavaScript", 50, 2, 14, 66
"e:\1DV610\L3A\src\routes\upload.js", "JavaScript", 23, 1, 9, 33
"Total", "-", 257, 9, 75, 341
